date,commodity_id,commodity_name,unit,price,ln_price,ret,vol_proxy,VIX,VXO,JLN
1960-01-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,NA,NA,NA,NA,NA
1960-02-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,NA
1960-03-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,NA
1960-04-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,NA
1960-05-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,NA
1960-06-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,NA
1960-07-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,0.855328870135846
1960-08-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,0.85724874419183
1960-09-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,0.862350470120923
1960-10-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,0.868105506406875
1960-11-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,0.876932680719875
1960-12-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,0.886541318479049
1961-01-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,0.890461271608359
1961-02-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,0.893063957736155
1961-03-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,0.891585122043082
1961-04-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,0.88634558864808
1961-05-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,0.882059510099876
1961-06-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,0.878829219532166
1961-07-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,0.875505042552546
1961-08-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,0.873657950014075
1961-09-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,0.868816775600687
1961-10-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,0.863376074514568
1961-11-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,0.857104760765493
1961-12-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,0.85374579250749
1962-01-01,aluminium,Aluminium,NA,511.47183227539,6.237292515010018,0,0,NA,NA,0.853997659073559
1962-02-01,aluminium,Aluminium,NA,504.85797119141,6.224277144552997,-0.01301537045702127,1.693998681335021e-4,NA,NA,0.85274239833602306
1962-03-01,aluminium,Aluminium,NA,496.03948974609,6.206655539979277,-0.01762160457371975,3.10520947752541e-4,NA,NA,0.848545225945123
1962-04-01,aluminium,Aluminium,NA,496.03948974609,6.206655539979277,0,0,NA,NA,0.84534109682814
1962-05-01,aluminium,Aluminium,NA,496.03948974609,6.206655539979277,0,0,NA,NA,0.843933628528697
1962-06-01,aluminium,Aluminium,NA,496.03948974609,6.206655539979277,0,0,NA,NA,0.841052997058942
