uncertainty,scenario,regime,variable,t,aluminium,cocoa,coffee_arabic,copper,cotton_a_indx,crude_wti,gold,lead,maize,ngas_us,nickel,platinum,silver,soybeans,sugar_wld,tin,wheat_us_hrw,zinc
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,3,0.23746437619195693,0.0026014020230994616,0.0024262908105171944,3.410629685412023e-4,0.005969770085768528,0.0011935637140319236,0.0011549412667644567,1.2486612060283675e-4,5.271661914939443e-5,0.0022856881673436738,1.943953211754738e-4,0.008208076252094314,3.0882857269753233e-4,7.301369341363636e-4,0.0011166020841757635,0.004318315787789353,3.973549895961826e-5,0.0035331296853663794
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,4,-0.11856018529882432,-0.0017293236748787434,-0.0012349010479169055,-1.9713138394754026e-4,-0.0032622565792171116,-6.83583526525013e-4,-9.536946964070364e-4,-0.001523567101635656,-0.0022205108453074306,-0.004346225397463243,-9.589817554898595e-5,-0.004086765881168063,-3.4413825538671245e-4,-3.5730169141626384e-4,-0.0029844499747151464,-0.00540398997515676,-2.1370881820938545e-4,-0.00287817886277459
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,5,-0.014350634310256521,-2.448001065723848e-4,-6.879531475755795e-4,-2.0356441783158914e-4,-4.0090884110613825e-4,-3.3781152444343105e-4,-1.1765336970055536e-4,-1.84508808094718e-4,-4.4869449428584454e-4,-5.335557445114915e-4,-1.7275431756426387e-5,-5.077641225879351e-4,-4.8245749906233976e-5,-5.492321788488451e-4,-7.078418890009387e-4,-9.98228480494902e-4,-5.208903696996622e-4,-3.6062732505807825e-4
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,6,0.048870030818429444,8.298692792966531e-4,0.004592837697038119,9.785737349333097e-4,0.0013786803752902877,0.002306821618555935,9.016779978338532e-4,6.270566732063017e-4,0.002982651180440514,0.001994954200329299,7.510690572446096e-5,0.002319717708343767,2.2640017466874282e-4,0.0020711199037677674,0.003063603616116708,0.003967033597208264,0.0028678461436488817,0.001227573235348934
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,7,0.02566542881455599,5.930615244068182e-4,0.0027723365920433343,0.0011817067416392735,7.921164148518117e-4,0.0012167386359875157,5.120654413560992e-4,3.6044135045209614e-4,0.0018264074130030451,0.0012033489942221594,5.750876798048531e-4,0.0013518424852405236,1.355614975305318e-4,0.0023118197104395654,0.0016246495363849884,0.002665081550338856,0.0015222602733195134,8.826599043921235e-4
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,8,-0.045426708097007246,-0.001050812926973126,-0.005057713589427163,-0.003285519960920559,-0.0022370021411873245,-0.0021404344531092334,-0.0011870609929525591,-6.577165418855225e-4,-0.0033504081216838163,-0.002654755861376152,-0.0017094243777514167,-0.0035010506071825147,-2.5511551660381787e-4,-0.006162438501614153,-0.0028616452931350257,-0.006784557761730008,-0.0027300049947517205,-0.0015638238957320315
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,9,-0.020396989176652894,-6.405168205045891e-4,-0.002682166072007932,-0.0015402129849981117,-0.001043207918112298,-0.0010397058602587867,-5.696456053808608e-4,-5.567442649710034e-4,-0.0024497750169637303,-0.001235094933065216,-8.010019477784461e-4,-0.002396540014616484,-1.1781119229827079e-4,-0.0030086189224909866,-0.0013720862810941876,-0.003458278749606464,-0.0014306045209799081,-9.549401249755862e-4
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,10,0.03173950825722535,0.0010481974376870026,0.0050042002294877356,0.0024335271562792907,0.0016165590222550043,0.0016763698790663484,0.0015127203528655566,0.001983666964568374,0.005102071908432744,0.0019202390527738211,0.0012861177049469407,0.0048739111566532285,3.153868917882131e-4,0.005146056838749825,0.0021890102630440895,0.005399036747499311,0.0025966179651544714,0.0015385324548846894
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,11,0.0026019438402765135,8.593291729508417e-5,4.102201415607857e-4,2.527014347484416e-4,1.3313862350015305e-4,1.3957777397930257e-4,1.2671544411698544e-4,2.0634790719579232e-4,4.215332557401395e-4,1.5912797483442093e-4,1.0573596362023258e-4,4.295816847153383e-4,2.9940315968739713e-5,4.5903754119874703e-4,1.902400710380965e-4,4.677128166531476e-4,2.2568875839517764e-4,1.3786461369154262e-4
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,12,-0.04155343043999474,-0.0014922696935428647,-0.006714197664811793,-0.004028917693570672,-0.0021282988291512826,-0.0022062601154106886,-0.002003351722176748,-0.003583332900657208,-0.008527407397956046,-0.0025801026724152033,-0.0016858553132545228,-0.006850995206290497,-5.306894502585109e-4,-0.007253518204953659,-0.003337779501541078,-0.00831986712771008,-0.004415696286778144,-0.0022696237557863702
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,aluminium,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
