"DATE,""TIME PERIOD"",""CISS - Composite Indicator of Systemic Stress (CISS.D.U2.Z0Z.4F.EC.SS_CI.IDX)"""
"1999-01-08,""08 Jan 1999"",""0.0941"""
"1999-01-15,""15 Jan 1999"",""0.1963"""
"1999-01-22,""22 Jan 1999"",""0.1876"""
"1999-01-29,""29 Jan 1999"",""0.1489"""
"1999-02-05,""05 Feb 1999"",""0.1746"""
"1999-02-12,""12 Feb 1999"",""0.2126"""
"1999-02-19,""19 Feb 1999"",""0.2173"""
"1999-02-26,""26 Feb 1999"",""0.2000"""
"1999-03-05,""05 Mar 1999"",""0.1665"""
"1999-03-12,""12 Mar 1999"",""0.1550"""
"1999-03-19,""19 Mar 1999"",""0.0762"""
"1999-03-26,""26 Mar 1999"",""0.1233"""
"1999-04-02,""02 Apr 1999"",""0.0867"""
"1999-04-09,""09 Apr 1999"",""0.0925"""
"1999-04-16,""16 Apr 1999"",""0.0645"""
"1999-04-23,""23 Apr 1999"",""0.1054"""
"1999-04-30,""30 Apr 1999"",""0.0746"""
"1999-05-07,""07 May 1999"",""0.0618"""
"1999-05-14,""14 May 1999"",""0.0567"""
"1999-05-21,""21 May 1999"",""0.0565"""
"1999-05-28,""28 May 1999"",""0.0568"""
"1999-06-04,""04 Jun 1999"",""0.0495"""
"1999-06-11,""11 Jun 1999"",""0.0535"""
"1999-06-18,""18 Jun 1999"",""0.0485"""
"1999-06-25,""25 Jun 1999"",""0.0400"""
"1999-07-02,""02 Jul 1999"",""0.0421"""
"1999-07-09,""09 Jul 1999"",""0.0271"""
"1999-07-16,""16 Jul 1999"",""0.0342"""
"1999-07-23,""23 Jul 1999"",""0.0867"""
"1999-07-30,""30 Jul 1999"",""0.0873"""
"1999-08-06,""06 Aug 1999"",""0.0819"""
"1999-08-13,""13 Aug 1999"",""0.0827"""
"1999-08-20,""20 Aug 1999"",""0.0836"""
"1999-08-27,""27 Aug 1999"",""0.0688"""
"1999-09-03,""03 Sep 1999"",""0.0604"""
"1999-09-10,""10 Sep 1999"",""0.0572"""
"1999-09-17,""17 Sep 1999"",""0.0583"""
"1999-09-24,""24 Sep 1999"",""0.0699"""
"1999-10-01,""01 Oct 1999"",""0.0730"""
"1999-10-08,""08 Oct 1999"",""0.0785"""
"1999-10-15,""15 Oct 1999"",""0.1061"""
"1999-10-22,""22 Oct 1999"",""0.1067"""
"1999-10-29,""29 Oct 1999"",""0.1033"""
"1999-11-05,""05 Nov 1999"",""0.0562"""
"1999-11-12,""12 Nov 1999"",""0.0497"""
"1999-11-19,""19 Nov 1999"",""0.0547"""
"1999-11-26,""26 Nov 1999"",""0.0617"""
"1999-12-03,""03 Dec 1999"",""0.0518"""
"1999-12-10,""10 Dec 1999"",""0.0735"""
"1999-12-17,""17 Dec 1999"",""0.0650"""
"1999-12-24,""24 Dec 1999"",""0.0610"""
"1999-12-31,""31 Dec 1999"",""0.0582"""
"2000-01-07,""07 Jan 2000"",""0.1041"""
"2000-01-14,""14 Jan 2000"",""0.0772"""
"2000-01-21,""21 Jan 2000"",""0.0561"""
"2000-01-28,""28 Jan 2000"",""0.0921"""
"2000-02-04,""04 Feb 2000"",""0.0841"""
"2000-02-11,""11 Feb 2000"",""0.0670"""
"2000-02-18,""18 Feb 2000"",""0.0523"""
"2000-02-25,""25 Feb 2000"",""0.0912"""
"2000-03-03,""03 Mar 2000"",""0.0768"""
"2000-03-10,""10 Mar 2000"",""0.0779"""
"2000-03-17,""17 Mar 2000"",""0.0699"""
"2000-03-24,""24 Mar 2000"",""0.0654"""
"2000-03-31,""31 Mar 2000"",""0.1096"""
"2000-04-07,""07 Apr 2000"",""0.1111"""
"2000-04-14,""14 Apr 2000"",""0.1472"""
"2000-04-21,""21 Apr 2000"",""0.1240"""
"2000-04-28,""28 Apr 2000"",""0.1864"""
"2000-05-05,""05 May 2000"",""0.2135"""
"2000-05-12,""12 May 2000"",""0.2020"""
"2000-05-19,""19 May 2000"",""0.1780"""
"2000-05-26,""26 May 2000"",""0.2481"""
"2000-06-02,""02 Jun 2000"",""0.2242"""
"2000-06-09,""09 Jun 2000"",""0.1491"""
"2000-06-16,""16 Jun 2000"",""0.1245"""
"2000-06-23,""23 Jun 2000"",""0.1726"""
"2000-06-30,""30 Jun 2000"",""0.1768"""
"2000-07-07,""07 Jul 2000"",""0.1240"""
"2000-07-14,""14 Jul 2000"",""0.1191"""
"2000-07-21,""21 Jul 2000"",""0.1753"""
"2000-07-28,""28 Jul 2000"",""0.1654"""
"2000-08-04,""04 Aug 2000"",""0.1875"""
"2000-08-11,""11 Aug 2000"",""0.1428"""
"2000-08-18,""18 Aug 2000"",""0.1150"""
"2000-08-25,""25 Aug 2000"",""0.1020"""
"2000-09-01,""01 Sep 2000"",""0.1374"""
"2000-09-08,""08 Sep 2000"",""0.1746"""
"2000-09-15,""15 Sep 2000"",""0.1428"""
"2000-09-22,""22 Sep 2000"",""0.1871"""
"2000-09-29,""29 Sep 2000"",""0.1461"""
"2000-10-06,""06 Oct 2000"",""0.1333"""
"2000-10-13,""13 Oct 2000"",""0.2041"""
"2000-10-20,""20 Oct 2000"",""0.2331"""
"2000-10-27,""27 Oct 2000"",""0.2253"""
"2000-11-03,""03 Nov 2000"",""0.1479"""
"2000-11-10,""10 Nov 2000"",""0.1399"""
"2000-11-17,""17 Nov 2000"",""0.1466"""
"2000-11-24,""24 Nov 2000"",""0.1798"""
"2000-12-01,""01 Dec 2000"",""0.2089"""
"2000-12-08,""08 Dec 2000"",""0.1749"""
"2000-12-15,""15 Dec 2000"",""0.1761"""
"2000-12-22,""22 Dec 2000"",""0.2041"""
"2000-12-29,""29 Dec 2000"",""0.1312"""
"2001-01-05,""05 Jan 2001"",""0.2424"""
"2001-01-12,""12 Jan 2001"",""0.2391"""
"2001-01-19,""19 Jan 2001"",""0.2074"""
"2001-01-26,""26 Jan 2001"",""0.1203"""
"2001-02-02,""02 Feb 2001"",""0.1511"""
"2001-02-09,""09 Feb 2001"",""0.1401"""
"2001-02-16,""16 Feb 2001"",""0.1890"""
"2001-02-23,""23 Feb 2001"",""0.1911"""
"2001-03-02,""02 Mar 2001"",""0.1835"""
"2001-03-09,""09 Mar 2001"",""0.0933"""
"2001-03-16,""16 Mar 2001"",""0.1383"""
"2001-03-23,""23 Mar 2001"",""0.1888"""
"2001-03-30,""30 Mar 2001"",""0.1730"""
"2001-04-06,""06 Apr 2001"",""0.1863"""
"2001-04-13,""13 Apr 2001"",""0.2069"""
"2001-04-20,""20 Apr 2001"",""0.2160"""
"2001-04-27,""27 Apr 2001"",""0.1974"""
"2001-05-04,""04 May 2001"",""0.1229"""
"2001-05-11,""11 May 2001"",""0.1234"""
"2001-05-18,""18 May 2001"",""0.0967"""
"2001-05-25,""25 May 2001"",""0.1357"""
"2001-06-01,""01 Jun 2001"",""0.1071"""
"2001-06-08,""08 Jun 2001"",""0.1011"""
"2001-06-15,""15 Jun 2001"",""0.1118"""
"2001-06-22,""22 Jun 2001"",""0.0934"""
"2001-06-29,""29 Jun 2001"",""0.1673"""
"2001-07-06,""06 Jul 2001"",""0.1771"""
"2001-07-13,""13 Jul 2001"",""0.1746"""
"2001-07-20,""20 Jul 2001"",""0.1867"""
"2001-07-27,""27 Jul 2001"",""0.1476"""
"2001-08-03,""03 Aug 2001"",""0.1090"""
"2001-08-10,""10 Aug 2001"",""0.1258"""
"2001-08-17,""17 Aug 2001"",""0.1697"""
"2001-08-24,""24 Aug 2001"",""0.1361"""
"2001-08-31,""31 Aug 2001"",""0.1723"""
"2001-09-07,""07 Sep 2001"",""0.2882"""
"2001-09-14,""14 Sep 2001"",""0.3316"""
"2001-09-21,""21 Sep 2001"",""0.3956"""
"2001-09-28,""28 Sep 2001"",""0.3806"""
"2001-10-05,""05 Oct 2001"",""0.3948"""
"2001-10-12,""12 Oct 2001"",""0.3269"""
"2001-10-19,""19 Oct 2001"",""0.3194"""
"2001-10-26,""26 Oct 2001"",""0.3388"""
"2001-11-02,""02 Nov 2001"",""0.3401"""
"2001-11-09,""09 Nov 2001"",""0.3484"""
"2001-11-16,""16 Nov 2001"",""0.3626"""
"2001-11-23,""23 Nov 2001"",""0.3198"""
"2001-11-30,""30 Nov 2001"",""0.2847"""
"2001-12-07,""07 Dec 2001"",""0.3230"""
"2001-12-14,""14 Dec 2001"",""0.2773"""
"2001-12-21,""21 Dec 2001"",""0.3024"""
"2001-12-28,""28 Dec 2001"",""0.2347"""
"2002-01-04,""04 Jan 2002"",""0.3096"""
"2002-01-11,""11 Jan 2002"",""0.2441"""
"2002-01-18,""18 Jan 2002"",""0.2994"""
"2002-01-25,""25 Jan 2002"",""0.2782"""
"2002-02-01,""01 Feb 2002"",""0.2503"""
"2002-02-08,""08 Feb 2002"",""0.2851"""
"2002-02-15,""15 Feb 2002"",""0.1922"""
"2002-02-22,""22 Feb 2002"",""0.2441"""
"2002-03-01,""01 Mar 2002"",""0.2208"""
"2002-03-08,""08 Mar 2002"",""0.2084"""
"2002-03-15,""15 Mar 2002"",""0.1421"""
"2002-03-22,""22 Mar 2002"",""0.1430"""
"2002-03-29,""29 Mar 2002"",""0.0983"""
"2002-04-05,""05 Apr 2002"",""0.1620"""
"2002-04-12,""12 Apr 2002"",""0.1757"""
"2002-04-19,""19 Apr 2002"",""0.1828"""
"2002-04-26,""26 Apr 2002"",""0.1553"""
"2002-05-03,""03 May 2002"",""0.1995"""
"2002-05-10,""10 May 2002"",""0.1615"""
"2002-05-17,""17 May 2002"",""0.1652"""
"2002-05-24,""24 May 2002"",""0.1491"""
"2002-05-31,""31 May 2002"",""0.1586"""
"2002-06-07,""07 Jun 2002"",""0.1698"""
"2002-06-14,""14 Jun 2002"",""0.1695"""
