date,commodity,price,log_return,vol_proxy
1960-01-01,Aluminium,511.47183227539,NA,NA
1960-02-01,Aluminium,511.47183227539,0,0
1960-03-01,Aluminium,511.47183227539,0,0
1960-04-01,Aluminium,511.47183227539,0,0
1960-05-01,Aluminium,511.47183227539,0,0
1960-06-01,Aluminium,511.47183227539,0,0
1960-07-01,Aluminium,511.47183227539,0,0
1960-08-01,Aluminium,511.47183227539,0,0
1960-09-01,Aluminium,511.47183227539,0,0
1960-10-01,Aluminium,511.47183227539,0,0
1960-11-01,Aluminium,511.47183227539,0,0
1960-12-01,Aluminium,511.47183227539,0,0
1961-01-01,Aluminium,511.47183227539,0,0
1961-02-01,Aluminium,511.47183227539,0,0
1961-03-01,Aluminium,511.47183227539,0,0
1961-04-01,Aluminium,511.47183227539,0,0
1961-05-01,Aluminium,511.47183227539,0,0
1961-06-01,Aluminium,511.47183227539,0,0
1961-07-01,Aluminium,511.47183227539,0,0
1961-08-01,Aluminium,511.47183227539,0,0
1961-09-01,Aluminium,511.47183227539,0,0
1961-10-01,Aluminium,511.47183227539,0,0
1961-11-01,Aluminium,511.47183227539,0,0
1961-12-01,Aluminium,511.47183227539,0,0
1962-01-01,Aluminium,511.47183227539,0,0
1962-02-01,Aluminium,504.85797119141,-0.013015370457021272,1.693998681335021e-4
1962-03-01,Aluminium,496.03948974609,-0.017621604573719755,3.10520947752541e-4
1962-04-01,Aluminium,496.03948974609,0,0
1962-05-01,Aluminium,496.03948974609,0,0
1962-06-01,Aluminium,496.03948974609,0,0
1962-07-01,Aluminium,496.03948974609,0,0
1962-08-01,Aluminium,496.03948974609,0,0
1962-09-01,Aluminium,496.03948974609,0,0
1962-10-01,Aluminium,496.03948974609,0,0
1962-11-01,Aluminium,496.03948974609,0,0
1962-12-01,Aluminium,496.03948974609,0,0
1963-01-01,Aluminium,496.03948974609,0,0
1963-02-01,Aluminium,496.03948974609,0,0
1963-03-01,Aluminium,496.03948974609,0,0
1963-04-01,Aluminium,496.03948974609,0,0
1963-05-01,Aluminium,496.03948974609,0,0
1963-06-01,Aluminium,496.03948974609,0,0
1963-07-01,Aluminium,496.03948974609,0,0
1963-08-01,Aluminium,496.03948974609,0,0
1963-09-01,Aluminium,496.03948974609,0,0
1963-10-01,Aluminium,507.06259155273,0.021978910731109535,4.830725169260819e-4
1963-11-01,Aluminium,507.06259155273,0,0
1963-12-01,Aluminium,507.06259155273,0,0
1964-01-01,Aluminium,507.06259155273,0,0
1964-02-01,Aluminium,507.06259155273,0,0
1964-03-01,Aluminium,524.69946289063,0.034191196331346,0.0011690379065686482
