commodity_id,coverage,top_reason
aluminium,0.8987341772151899,VIX
cocoa,0.8987341772151899,VIX
coffee_arabic,0.8987341772151899,VIX
copper,0.8987341772151899,VIX
cotton_a_indx,0.8987341772151899,VIX
crude_wti,0.8987341772151899,VIX
gold,0.8987341772151899,VIX
lead,0.8987341772151899,VIX
maize,0.8987341772151899,VIX
ngas_us,0.8987341772151899,VIX
nickel,0.8987341772151899,VIX
platinum,0.8987341772151899,VIX
silver,0.8987341772151899,VIX
soybeans,0.8987341772151899,VIX
sugar_wld,0.8987341772151899,VIX
tin,0.8987341772151899,VIX
wheat_us_hrw,0.8987341772151899,VIX
zinc,0.8987341772151899,VIX
