date,commodity_id,commodity_name,unit,price,ln_price,ret,vol_proxy,VXO
1990-01-01,aluminium,Aluminium,NA,1528.25,7.331878568908834,-0.06645472755464635,0.00441623081436227,23.49909090909091
1990-02-01,aluminium,Aluminium,NA,1454.28,7.2822662117683965,-0.04961235714043852,0.00246138598103042,23.326842105263157
1990-03-01,aluminium,Aluminium,NA,1567.39,7.357167094606068,0.07490088283767166,0.00561014224986261,18.831363636363637
1990-04-01,aluminium,Aluminium,NA,1525.55,7.3301102797585695,-0.02705681484749883,7.320712296918333e-4,20.4575
1990-05-01,aluminium,Aluminium,NA,1526.93,7.331014462648559,9.041828899897902e-4,8.17546698550289e-7,18.151818181818182
1990-06-01,aluminium,Aluminium,NA,1565.79,7.356145767941733,0.02513130529317365,6.31582505738698e-4,17.582857142857144
1990-07-01,aluminium,Aluminium,NA,1570.96,7.359442176441974,0.00329640850024224,1.0866309000469352e-5,18.93285714285714
1990-08-01,aluminium,Aluminium,NA,1782.02,7.48550283131233,0.12606065487035514,0.01589128870634279,27.77521739130435
1990-09-01,aluminium,Aluminium,NA,2066.53,7.633626151146195,0.14812331983386445,0.0219405178786053,28.818947368421053
1990-10-01,aluminium,Aluminium,NA,1945.7,7.57337708847733,-0.06024906266886398,0.00362994955247669,30.130434782608695
1990-11-01,aluminium,Aluminium,NA,1617.5,7.388637026375056,-0.1847400621022748,0.03412889054555235,25.106666666666666
1990-12-01,aluminium,Aluminium,NA,1522.44,7.328069589940507,-0.06056743643454836,0.00366841435625305,22.5845
1991-01-01,aluminium,Aluminium,NA,1515.18,7.323289522767086,-0.00478006717342209,2.2849042182427535e-5,26.93181818181818
1991-02-01,aluminium,Aluminium,NA,1504.6,7.316282361126121,-0.00700716164096403,4.91003142625978e-5,22.11263157894737
1991-03-01,aluminium,Aluminium,NA,1496,7.310550158534422,-0.0057322025916986,3.28581465522762e-5,19.041052631578943
1991-04-01,aluminium,Aluminium,NA,1391.86,7.238396261123746,-0.07215389741067692,0.00520618491155049,18.92727272727273
1991-05-01,aluminium,Aluminium,NA,1296.05,7.167076456414935,-0.07131980470881066,0.00508651454370289,17.180454545454545
1991-06-01,aluminium,Aluminium,NA,1275.15,7.150819097731477,-0.01625735868345733,2.643017113625855e-4,17.575
1991-07-01,aluminium,Aluminium,NA,1296.78,7.167639547723882,0.01682044999240428,2.829275379469732e-4,17.669545454545453
1991-08-01,aluminium,Aluminium,NA,1256.45,7.136045563115877,-0.03159398460800526,9.981798634108737e-4,15.932727272727272
1991-09-01,aluminium,Aluminium,NA,1211.81,7.099870388663669,-0.03617517445220763,0.00130864324664765,17.029
1991-10-01,aluminium,Aluminium,NA,1150.03,7.047543307973559,-0.05232708069011031,0.00273812337354931,16.846363636363638
1991-11-01,aluminium,Aluminium,NA,1134.8,7.034211702934696,-0.01333160503886244,1.7773169291222235e-4,17.6815
1991-12-01,aluminium,Aluminium,NA,1097.55,7.000835701998149,-0.03337600093654762,0.00111395743851642,18.018571428571427
1992-01-01,aluminium,Aluminium,NA,1177.07,7.070783578728857,0.06994787673070844,0.00489270545913438,17.499545454545455
1992-02-01,aluminium,Aluminium,NA,1266.83,7.144272996101791,0.07348941737293391,0.00540069446581328,17.050526315789472
1992-03-01,aluminium,Aluminium,NA,1280.47,7.154982477016831,0.01070948091503942,1.1469298146959375e-4,16.222727272727273
1992-04-01,aluminium,Aluminium,NA,1317.05,7.183149666094759,0.02816718907792897,7.933905405518011e-4,16.18857142857143
1992-05-01,aluminium,Aluminium,NA,1306.79,7.1753290274172565,-0.00782063867750287,6.116238932405396e-5,14.728
1992-06-01,aluminium,Aluminium,NA,1275.55,7.151132737127156,-0.02419629029010036,5.85460463802805e-4,14.75318181818182
1992-07-01,aluminium,Aluminium,NA,1313.05,7.180107954308894,0.02897521718173731,8.395632107288455e-4,13.303636363636365
1992-08-01,aluminium,Aluminium,NA,1305.05,7.17399663319907,-0.00611132110982386,3.734824570737878e-5,14.422380952380951
1992-09-01,aluminium,Aluminium,NA,1269.61,7.146465045677714,-0.02753158752135552,7.579883114460591e-4,14.258571428571427
1992-10-01,aluminium,Aluminium,NA,1173.78,7.067984589301275,-0.07848045637643859,0.00615918203305408,17.478636363636365
1992-11-01,aluminium,Aluminium,NA,1159.05,7.055355983047702,-0.01262860625357306,1.594816959077846e-4,14.594
1992-12-01,aluminium,Aluminium,NA,1207.1,7.095976067707081,0.04062008465937872,0.00164999127773509,12.781363636363636
